2017-01-24 04:37:23,233 DEBUG    version=v043-unified:simple-ff-200
2017-01-24 05:15:34,410 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:17:12,513 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-020.pkl
2017-01-24 05:17:21,861 INFO     epoch: 20 took 107.455s (81.966s in batching)
training loss:	0.599143
validation loss:	0.623560
validation error:	0.344208
2017-01-24 05:17:21,864 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:19:00,419 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-021.pkl
2017-01-24 05:19:09,738 INFO     epoch: 21 took 107.877s (82.423s in batching)
training loss:	0.598828
validation loss:	0.609123
validation error:	0.335370
2017-01-24 05:19:09,842 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:20:48,273 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-022.pkl
2017-01-24 05:20:57,575 INFO     epoch: 22 took 107.836s (82.157s in batching)
training loss:	0.598639
validation loss:	0.605490
validation error:	0.330706
2017-01-24 05:20:57,578 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:22:36,316 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-023.pkl
2017-01-24 05:22:45,721 INFO     epoch: 23 took 108.146s (82.513s in batching)
training loss:	0.598340
validation loss:	0.603557
validation error:	0.329259
2017-01-24 05:22:45,724 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:24:24,927 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-024.pkl
2017-01-24 05:24:34,344 INFO     epoch: 24 took 108.623s (82.909s in batching)
training loss:	0.598101
validation loss:	0.611205
validation error:	0.336010
2017-01-24 05:24:34,347 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:26:12,939 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-025.pkl
2017-01-24 05:26:22,246 INFO     epoch: 25 took 107.903s (82.319s in batching)
training loss:	0.598014
validation loss:	0.608058
validation error:	0.332342
2017-01-24 05:26:22,250 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:28:00,527 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-026.pkl
2017-01-24 05:28:09,839 INFO     epoch: 26 took 107.592s (81.962s in batching)
training loss:	0.597702
validation loss:	0.606765
validation error:	0.331370
2017-01-24 05:28:09,842 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:29:48,101 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-027.pkl
2017-01-24 05:29:57,337 INFO     epoch: 27 took 107.499s (81.972s in batching)
training loss:	0.597484
validation loss:	0.618055
validation error:	0.339435
2017-01-24 05:29:57,341 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:31:35,924 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-028.pkl
2017-01-24 05:31:45,256 INFO     epoch: 28 took 107.919s (82.167s in batching)
training loss:	0.597206
validation loss:	0.613191
validation error:	0.336223
2017-01-24 05:31:45,260 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:33:23,680 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-029.pkl
2017-01-24 05:33:33,092 INFO     epoch: 29 took 107.836s (82.049s in batching)
training loss:	0.597300
validation loss:	0.606320
validation error:	0.332198
2017-01-24 05:33:33,095 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:35:11,974 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-030.pkl
2017-01-24 05:35:21,417 INFO     epoch: 30 took 108.325s (82.511s in batching)
training loss:	0.596912
validation loss:	0.609361
validation error:	0.331425
2017-01-24 05:35:21,420 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:37:00,494 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-031.pkl
2017-01-24 05:37:09,831 INFO     epoch: 31 took 108.414s (82.768s in batching)
training loss:	0.596773
validation loss:	0.607996
validation error:	0.332327
2017-01-24 05:37:09,834 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:38:48,536 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-032.pkl
2017-01-24 05:38:57,811 INFO     epoch: 32 took 107.980s (82.308s in batching)
training loss:	0.596496
validation loss:	0.605298
validation error:	0.329160
2017-01-24 05:38:57,816 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:40:36,601 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-033.pkl
2017-01-24 05:40:45,968 INFO     epoch: 33 took 108.157s (82.428s in batching)
training loss:	0.596535
validation loss:	0.604087
validation error:	0.326905
2017-01-24 05:40:45,971 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:42:24,738 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-034.pkl
2017-01-24 05:42:34,103 INFO     epoch: 34 took 108.135s (82.317s in batching)
training loss:	0.596420
validation loss:	0.611309
validation error:	0.331693
2017-01-24 05:42:34,106 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:44:12,824 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-035.pkl
2017-01-24 05:44:22,167 INFO     epoch: 35 took 108.064s (82.281s in batching)
training loss:	0.596066
validation loss:	0.608410
validation error:	0.331831
2017-01-24 05:44:22,171 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:46:00,851 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-036.pkl
2017-01-24 05:46:10,071 INFO     epoch: 36 took 107.904s (82.305s in batching)
training loss:	0.595989
validation loss:	0.603872
validation error:	0.326840
2017-01-24 05:46:10,074 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:47:47,339 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-037.pkl
2017-01-24 05:47:56,542 INFO     epoch: 37 took 106.471s (81.703s in batching)
training loss:	0.595874
validation loss:	0.609293
validation error:	0.331579
2017-01-24 05:47:56,545 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:49:34,158 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-038.pkl
2017-01-24 05:49:43,476 INFO     epoch: 38 took 106.934s (82.193s in batching)
training loss:	0.595727
validation loss:	0.604311
validation error:	0.328585
2017-01-24 05:49:43,479 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:51:20,922 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-039.pkl
2017-01-24 05:51:30,200 INFO     epoch: 39 took 106.724s (82.005s in batching)
training loss:	0.595723
validation loss:	0.607071
validation error:	0.328099
2017-01-24 05:51:30,204 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:53:07,564 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-040.pkl
2017-01-24 05:53:16,795 INFO     epoch: 40 took 106.594s (81.767s in batching)
training loss:	0.595629
validation loss:	0.607753
validation error:	0.332357
2017-01-24 05:53:16,799 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:54:54,555 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-041.pkl
2017-01-24 05:55:03,896 INFO     epoch: 41 took 107.102s (82.133s in batching)
training loss:	0.595509
validation loss:	0.605213
validation error:	0.329056
2017-01-24 05:55:03,900 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:56:42,088 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-042.pkl
2017-01-24 05:56:51,412 INFO     epoch: 42 took 107.515s (82.503s in batching)
training loss:	0.595321
validation loss:	0.610620
validation error:	0.333180
2017-01-24 05:56:51,416 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:58:30,159 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-043.pkl
2017-01-24 05:58:39,457 INFO     epoch: 43 took 108.045s (82.855s in batching)
training loss:	0.595226
validation loss:	0.604519
validation error:	0.328208
2017-01-24 05:58:39,460 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:00:17,422 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-044.pkl
2017-01-24 06:00:26,654 INFO     epoch: 44 took 107.197s (82.086s in batching)
training loss:	0.595139
validation loss:	0.606968
validation error:	0.329403
2017-01-24 06:00:26,658 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:02:04,829 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-045.pkl
2017-01-24 06:02:14,075 INFO     epoch: 45 took 107.422s (82.198s in batching)
training loss:	0.595002
validation loss:	0.609005
validation error:	0.328659
2017-01-24 06:02:14,080 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:03:52,135 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-046.pkl
2017-01-24 06:04:01,425 INFO     epoch: 46 took 107.350s (82.075s in batching)
training loss:	0.594956
validation loss:	0.602970
validation error:	0.327826
2017-01-24 06:04:01,429 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:05:39,460 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-047.pkl
2017-01-24 06:05:48,763 INFO     epoch: 47 took 107.338s (82.062s in batching)
training loss:	0.594726
validation loss:	0.607654
validation error:	0.332659
2017-01-24 06:05:48,767 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:07:26,734 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-048.pkl
2017-01-24 06:07:36,062 INFO     epoch: 48 took 107.299s (81.970s in batching)
training loss:	0.594704
validation loss:	0.603740
validation error:	0.326696
2017-01-24 06:07:36,066 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:09:14,085 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-049.pkl
2017-01-24 06:09:23,291 INFO     epoch: 49 took 107.229s (81.980s in batching)
training loss:	0.594671
validation loss:	0.605820
validation error:	0.325120
2017-01-24 06:09:23,295 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:11:01,610 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-050.pkl
2017-01-24 06:11:10,862 INFO     epoch: 50 took 107.571s (82.176s in batching)
training loss:	0.594635
validation loss:	0.605779
validation error:	0.327375
2017-01-24 06:11:10,866 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:12:49,304 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-051.pkl
2017-01-24 06:12:58,590 INFO     epoch: 51 took 107.728s (82.258s in batching)
training loss:	0.594489
validation loss:	0.609257
validation error:	0.332054
2017-01-24 06:12:58,595 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:14:37,286 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-052.pkl
2017-01-24 06:14:46,609 INFO     epoch: 52 took 108.019s (82.546s in batching)
training loss:	0.594455
validation loss:	0.603498
validation error:	0.327321
2017-01-24 06:14:46,613 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:16:24,926 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-053.pkl
2017-01-24 06:16:34,237 INFO     epoch: 53 took 107.628s (82.068s in batching)
training loss:	0.594331
validation loss:	0.606019
validation error:	0.329418
2017-01-24 06:16:34,241 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:18:13,020 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-054.pkl
2017-01-24 06:18:22,317 INFO     epoch: 54 took 108.080s (82.466s in batching)
training loss:	0.594156
validation loss:	0.608846
validation error:	0.334701
2017-01-24 06:18:22,322 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:20:00,813 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-055.pkl
2017-01-24 06:20:10,132 INFO     epoch: 55 took 107.815s (82.122s in batching)
training loss:	0.594219
validation loss:	0.604819
validation error:	0.328213
2017-01-24 06:20:10,136 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:21:48,543 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-056.pkl
2017-01-24 06:21:57,840 INFO     epoch: 56 took 107.708s (82.088s in batching)
training loss:	0.594082
validation loss:	0.627369
validation error:	0.342622
2017-01-24 06:21:57,845 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:23:36,387 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-057.pkl
2017-01-24 06:23:45,729 INFO     epoch: 57 took 107.889s (82.216s in batching)
training loss:	0.593985
validation loss:	0.608820
validation error:	0.332342
2017-01-24 06:23:45,733 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:25:24,341 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-058.pkl
2017-01-24 06:25:33,656 INFO     epoch: 58 took 107.927s (82.296s in batching)
training loss:	0.593959
validation loss:	0.605296
validation error:	0.327980
2017-01-24 06:25:33,661 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:27:12,211 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-059.pkl
2017-01-24 06:27:21,572 INFO     epoch: 59 took 107.916s (82.249s in batching)
training loss:	0.593769
validation loss:	0.603885
validation error:	0.326607
2017-01-24 06:27:21,576 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:29:00,057 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-060.pkl
2017-01-24 06:29:09,365 INFO     epoch: 60 took 107.793s (82.167s in batching)
training loss:	0.593826
validation loss:	0.609372
validation error:	0.335043
2017-01-24 06:29:09,370 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:30:48,217 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-061.pkl
2017-01-24 06:30:57,543 INFO     epoch: 61 took 108.178s (82.582s in batching)
training loss:	0.593696
validation loss:	0.605058
validation error:	0.328387
2017-01-24 06:30:57,548 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:32:36,279 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-062.pkl
2017-01-24 06:32:45,604 INFO     epoch: 62 took 108.060s (82.467s in batching)
training loss:	0.593512
validation loss:	0.612198
validation error:	0.335475
2017-01-24 06:32:45,609 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:34:24,286 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-063.pkl
2017-01-24 06:34:33,659 INFO     epoch: 63 took 108.055s (82.257s in batching)
training loss:	0.593594
validation loss:	0.604215
validation error:	0.325452
2017-01-24 06:34:33,664 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 06:36:12,464 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-064.pkl
