aggregated	self	category	text
95.79%	0.01%	4	bk	oh all right
95.80%	0.01%	4	b	uh right
95.81%	0.01%	4	ba	that
95.82%	0.01%	4	b	wow
95.83%	0.01%	4	b	so uh yeah
95.84%	0.01%	4	b	of course
95.84%	0.01%	4	bh	are you really
95.85%	0.01%	4	br	um
95.86%	0.01%	4	ba	well
95.87%	0.01%	4	ba	no
95.88%	0.01%	4	bh	oh
95.89%	0.01%	4	b	oh huh-uh
95.90%	0.01%	4	b	and uh yeah
95.91%	0.01%	4	b	uh-huh uh
95.92%	0.01%	4	ba	uh oh
95.92%	0.01%	4	b	um okay
95.93%	0.01%	4	ba	that is good
95.94%	0.01%	4	ba	oh really
95.95%	0.01%	4	b	um um uh-huh
95.96%	0.01%	4	ba	oh well good
95.97%	0.01%	4	ba	that 's fun
95.98%	0.01%	3	ba	oh i imagine
95.98%	0.01%	3	bh	do you really
95.99%	0.01%	3	b	yeah mumblex
96.00%	0.01%	3	br	a what
96.00%	0.01%	3	b	okay um
96.01%	0.01%	3	br	the what
96.02%	0.01%	3	ba	whoops
96.02%	0.01%	3	ba	neat
96.03%	0.01%	3	ba	oh definitely
96.04%	0.01%	3	ba	good idea
96.04%	0.01%	3	b	oh um
96.05%	0.01%	3	bh	oh you did
96.06%	0.01%	3	b	no kidding
96.06%	0.01%	3	bh	think so
96.07%	0.01%	3	ba	that sounds nice
96.08%	0.01%	3	bh	are you serious
96.08%	0.01%	3	ba	fantastic
96.09%	0.01%	3	ba	nice
96.10%	0.01%	3	ba	oh good grief
96.10%	0.01%	3	b	uh-hum
96.11%	0.01%	3	b	gosh
96.12%	0.01%	3	b	oh are you
96.12%	0.01%	3	ba	that is neat
96.13%	0.01%	3	ba	how neat
96.14%	0.01%	3	b	good
96.14%	0.01%	3	b	oh huh
96.15%	0.01%	3	b	i understand
96.16%	0.01%	3	ba	that is great
96.16%	0.01%	3	b	oh oh yeah
96.17%	0.01%	3	ba	oh yuck
96.18%	0.01%	3	bf	oh you do
96.18%	0.01%	3	bk	uh okay
96.19%	0.01%	3	ba	oh how exciting
96.20%	0.01%	3	ba	that is true
96.20%	0.01%	3	b	yeah huh
96.21%	0.01%	3	b	um yes
96.22%	0.01%	3	b	oh well yeah
96.22%	0.01%	3	ba	oh me
96.23%	0.01%	3	bk	oh okay um
96.24%	0.01%	3	bk	huh okay
96.24%	0.01%	3	ba	that 's scary
96.25%	0.01%	3	ba	that 's hilarious
96.26%	0.01%	3	ba	very true
96.26%	0.01%	3	ba	that 's wild
96.27%	0.01%	3	ba	that 's it
96.28%	0.01%	3	b	ugh
96.28%	0.01%	3	bh	you think
96.29%	0.01%	3	ba	it really is
96.30%	0.01%	3	b	well yes
96.30%	0.01%	3	b	uh uh
96.31%	0.01%	3	b	anyway
96.32%	0.01%	3	bh	you think so
96.32%	0.01%	3	bk	okay uh
96.33%	0.01%	3	ba	well of course
96.34%	0.01%	3	ba	oh of course
96.34%	0.01%	3	ba	oh very good
96.35%	0.01%	3	ba	it 's great
96.36%	0.01%	3	bh	oh you have
96.36%	0.01%	3	ba	sounds wonderful
96.37%	0.01%	3	ba	it 's true
96.38%	0.01%	3	bh	you do n't
96.38%	0.01%	3	ba	well how neat
96.39%	0.01%	3	ba	my gosh
96.40%	0.01%	3	ba	that makes sense
96.40%	0.01%	3	ba	oh congratulations
96.41%	0.01%	3	b^m	and yeah
96.42%	0.01%	3	ba	oh how fun
96.42%	0.01%	3	ba	oh how awful
96.43%	0.01%	3	ba	well wonderful
96.44%	0.01%	3	bk	um i see
96.44%	0.01%	3	bh	were you
96.45%	0.01%	3	ba	that 's correct
96.46%	0.00%	2	ba	oh well
96.46%	0.00%	2	ba	oh no kidding
96.46%	0.00%	2	b	maybe so
96.47%	0.00%	2	bd	uh-huh
96.47%	0.00%	2	b	okay yeah
96.48%	0.00%	2	br	no
96.48%	0.00%	2	ba	i 'll say
96.49%	0.00%	2	ba	it 's amazing
96.49%	0.00%	2	ba	that is nice
96.50%	0.00%	2	b	well all right
96.50%	0.00%	2	b^m	two cats
96.50%	0.00%	2	ba	that 's sad
96.51%	0.00%	2	ba	holy smoke
96.51%	0.00%	2	b	oh gosh
96.52%	0.00%	2	bh	is that so
96.52%	0.00%	2	bh	what
96.53%	0.00%	2	b	that 's true
96.53%	0.00%	2	ba	good deal
96.54%	0.00%	2	ba	sounds interesting
96.54%	0.00%	2	ba	oh mercy
96.54%	0.00%	2	ba	that sounds wonderful
96.55%	0.00%	2	b	exactly
96.55%	0.00%	2	ba	pretty good
96.56%	0.00%	2	ba	bang
96.56%	0.00%	2	b	well uh yeah
96.57%	0.00%	2	b	ye-
96.57%	0.00%	2	ba	well sure
96.58%	0.00%	2	b	do you
96.58%	0.00%	2	ba	oh that sounds
96.58%	0.00%	2	bd	it 's okay
96.59%	0.00%	2	b	right uh-huh
96.59%	0.00%	2	ba	well i understand
96.60%	0.00%	2	b	and then yeah
96.60%	0.00%	2	b	absolutely
96.61%	0.00%	2	ba	how fun
96.61%	0.00%	2	bh	no kidding
96.62%	0.00%	2	b	righ-
96.62%	0.00%	2	bh	did you really
96.62%	0.00%	2	b^m	wonder years
96.63%	0.00%	2	ba	i can understand
96.63%	0.00%	2	ba	ah
96.64%	0.00%	2	b^m	in dallas
96.64%	0.00%	2	b^m	paris
96.65%	0.00%	2	b	r- right
96.65%	0.00%	2	bh	oh is he
96.66%	0.00%	2	bh	would you
96.66%	0.00%	2	b^m	yes
96.66%	0.00%	2	ba	oh cool
96.67%	0.00%	2	bh	oh you can
96.67%	0.00%	2	bd	yeah
96.68%	0.00%	2	ba	it sure does
96.68%	0.00%	2	b^m	nothing
96.69%	0.00%	2	b	ye- yes
96.69%	0.00%	2	bf	and
96.70%	0.00%	2	ba	bless your heart
96.70%	0.00%	2	ba	this is true
96.70%	0.00%	2	b	yes um
96.71%	0.00%	2	bf	goal directed
96.71%	0.00%	2	ba	good point
96.72%	0.00%	2	ba	oh it is
96.72%	0.00%	2	ba	sounds neat
96.73%	0.00%	2	ba	unfortunately
96.73%	0.00%	2	ba	wow yeah
96.74%	0.00%	2	ba	mine too
96.74%	0.00%	2	bh	does it
96.74%	0.00%	2	ba	yow
96.75%	0.00%	2	b^m	virginia
96.75%	0.00%	2	ba	unbelievable
96.76%	0.00%	2	ba	sounds like it
96.76%	0.00%	2	ba	i believe it
96.77%	0.00%	2	bh	do they
96.77%	0.00%	2	bk	that 's right
96.78%	0.00%	2	b^m	nursing
96.78%	0.00%	2	ba	that 's cute
96.79%	0.00%	2	ba	it sure is
96.79%	0.00%	2	ba	no doubt
96.79%	0.00%	2	ba	oh whoa
96.80%	0.00%	2	ba	gee whiz
96.80%	0.00%	2	ba	oh my lord
96.81%	0.00%	2	bh	oh they did
96.81%	0.00%	2	ba	uh-oh
96.82%	0.00%	2	b	oh yeah uh
96.82%	0.00%	2	ba	very good point
96.83%	0.00%	2	b	uh-
96.83%	0.00%	2	ba	uh gosh
96.83%	0.00%	2	b	well right
96.84%	0.00%	2	ba	i believe that
96.84%	0.00%	2	b	uh-huh huh
96.85%	0.00%	2	b	uh-oh
96.85%	0.00%	2	bd	no problem
96.86%	0.00%	2	ba	yes
96.86%	0.00%	2	bh	okay
96.87%	0.00%	2	ba	wow that 's
96.87%	0.00%	2	b	oh uh
96.87%	0.00%	2	ba	for sure
96.88%	0.00%	2	bk	oh really
96.88%	0.00%	2	b	right yeah
96.89%	0.00%	2	ba	good heavens
96.89%	0.00%	2	ba	sure it is
96.90%	0.00%	2	b	see yeah
96.90%	0.00%	2	b	alright
96.91%	0.00%	2	ba	certainly
96.91%	0.00%	2	ba	that 's okay
96.91%	0.00%	2	br	what is that
96.92%	0.00%	2	b	right mumblex
96.92%	0.00%	2	bh	oh it did
96.93%	0.00%	2	ba	that is sad
96.93%	0.00%	2	b^m	dallas
96.94%	0.00%	2	bk	oh oh okay
96.94%	0.00%	2	ba	but gosh
96.95%	0.00%	2	b	huh uh-huh
96.95%	0.00%	2	ba	that sounds interesting
96.95%	0.00%	2	ba	absolutely
96.96%	0.00%	2	bh	did it really
96.96%	0.00%	2	ba	beautiful
96.97%	0.00%	2	ba	it did
96.97%	0.00%	2	bh	is it really
96.98%	0.00%	2	bh	oh does he
96.98%	0.00%	2	b	all right uh
96.99%	0.00%	2	b	gee
96.99%	0.00%	2	bd	oh no
96.99%	0.00%	2	ba	incredible
97.00%	0.00%	2	ba	whoa
97.00%	0.00%	2	bd	
97.01%	0.00%	2	ba	oh how great
97.01%	0.00%	2	bh	oh it does
97.02%	0.00%	2	bk	well okay
97.02%	0.00%	2	ba	that 's excellent
97.03%	0.00%	2	b	yes well
97.03%	0.00%	2	br	who
97.03%	0.00%	2	b	see
97.04%	0.00%	2	ba	that 's horrible
97.04%	0.00%	2	ba	oh how wonderful
97.05%	0.00%	2	b	okay well
97.05%	0.00%	2	ba	of course
97.06%	0.00%	2	b	but um no
97.06%	0.00%	2	bh	they do
97.07%	0.00%	2	ba	i expect so
97.07%	0.00%	2	bh	oh they do
97.07%	0.00%	1	ba	oh just beautiful
97.07%	0.00%	1	b^m	watching
97.08%	0.00%	1	bf	all allocated out
97.08%	0.00%	1	b	and so yeah
97.08%	0.00%	1	b^m	shoeless joe
97.08%	0.00%	1	b^m	pianos uh-huh
97.09%	0.00%	1	b	each individual child
97.09%	0.00%	1	b^m	fernando
97.09%	0.00%	1	bf	raleigh durham
97.09%	0.00%	1	ba	holy cow
97.09%	0.00%	1	br	do what now
97.10%	0.00%	1	bd	not not
97.10%	0.00%	1	ba	does it oh
97.10%	0.00%	1	b^m	watchi
97.10%	0.00%	1	bh	do n't you
97.11%	0.00%	1	b^m	drug test
97.11%	0.00%	1	b^m	part time
97.11%	0.00%	1	b^m	small world
97.11%	0.00%	1	b	morocco
97.12%	0.00%	1	b	knife
97.12%	0.00%	1	ba	terrific
97.12%	0.00%	1	b^m	finance
97.12%	0.00%	1	ba	oh well great
97.12%	0.00%	1	bh	is that
97.13%	0.00%	1	b^m	that one
97.13%	0.00%	1	b^m	maui
97.13%	0.00%	1	b	on your commodore
97.13%	0.00%	1	br	horses
97.14%	0.00%	1	ba	gorgeous
97.14%	0.00%	1	ba	say that good
97.14%	0.00%	1	bh	it was it
97.14%	0.00%	1	bk	oh good
97.14%	0.00%	1	ba	what a hassle
97.15%	0.00%	1	b^m	mysteries
97.15%	0.00%	1	b	oh all right
97.15%	0.00%	1	ba	boy i bet
97.15%	0.00%	1	ba	they were
97.16%	0.00%	1	ba	exac-
97.16%	0.00%	1	b^m	it depends
97.16%	0.00%	1	b^m	about eight years
97.16%	0.00%	1	bf	word processing
97.16%	0.00%	1	b^m	homes
97.17%	0.00%	1	b^m	buccaneers
97.17%	0.00%	1	br	target stores
97.17%	0.00%	1	ba	well that great
97.17%	0.00%	1	ba	i can believe
97.18%	0.00%	1	ba	good point oh
97.18%	0.00%	1	b^m	grandmother
97.18%	0.00%	1	b^m	in georgia
97.18%	0.00%	1	bf	vacation home
97.18%	0.00%	1	ba	oh interesting
97.19%	0.00%	1	ba	those are pretty
97.19%	0.00%	1	b^m	caddo lake
97.19%	0.00%	1	ba	cute
97.19%	0.00%	1	bf	the pro
97.20%	0.00%	1	bh	it has
97.20%	0.00%	1	b^m	and cheap
97.20%	0.00%	1	ba	oh durn
97.20%	0.00%	1	br	life extensions
97.20%	0.00%	1	ba	uh shoot
97.21%	0.00%	1	bf	your kids
97.21%	0.00%	1	b^m	it is temporary
97.21%	0.00%	1	bh	uh-huh
97.21%	0.00%	1	b	uh i see
97.22%	0.00%	1	ba	i really do
97.22%	0.00%	1	br	a tent
97.22%	0.00%	1	bh	that right
97.22%	0.00%	1	b^m	four
97.22%	0.00%	1	br	where am i
97.23%	0.00%	1	bf	proper interface
97.23%	0.00%	1	br	being what
97.23%	0.00%	1	bh	that 's it
97.23%	0.00%	1	ba	so gosh
97.24%	0.00%	1	b^m	pinks and greens
97.24%	0.00%	1	b	and right
97.24%	0.00%	1	ba	heavens
97.24%	0.00%	1	b^m	new hampshire
97.24%	0.00%	1	b	oh wow
97.25%	0.00%	1	ba	it was amazing
97.25%	0.00%	1	b^m	raleigh
97.25%	0.00%	1	b^m	in richardson
97.25%	0.00%	1	b^m	do n't retire
97.26%	0.00%	1	b	oh god
97.26%	0.00%	1	ba	uh sounds wonderful
97.26%	0.00%	1	bh	oh she was
97.26%	0.00%	1	ba	like good grief
97.26%	0.00%	1	bf	not as independence
97.27%	0.00%	1	b^m	now blacks
97.27%	0.00%	1	b^m	one
97.27%	0.00%	1	b^m	five
97.27%	0.00%	1	ba	there 's great
97.28%	0.00%	1	ba	sure is
97.28%	0.00%	1	ba	oh how marvelous
97.28%	0.00%	1	br	to what avis
97.28%	0.00%	1	b^m	brand new mumblex
97.28%	0.00%	1	bf	warm rain
97.29%	0.00%	1	b^m	just bought one
97.29%	0.00%	1	b^m	exterior
97.29%	0.00%	1	b^m	pork barrel politics
97.29%	0.00%	1	b	time uh-huh
97.30%	0.00%	1	b	yeah to
97.30%	0.00%	1	ba	awesome
97.30%	0.00%	1	b	right um
97.30%	0.00%	1	b	mumblex oh
97.30%	0.00%	1	bh	five
97.31%	0.00%	1	ba	oh oh yeah
97.31%	0.00%	1	ba	ooh neat
97.31%	0.00%	1	b^m	the death penalty
97.31%	0.00%	1	bh	with cash
97.32%	0.00%	1	b^m	stump ki- yeah
97.32%	0.00%	1	ba	well i know
97.32%	0.00%	1	bh	does he
97.32%	0.00%	1	ba	oh oh my
97.32%	0.00%	1	b^m	thirty-three
97.33%	0.00%	1	ba	that is awful
97.33%	0.00%	1	bf	after you retire
97.33%	0.00%	1	bf	research triangle
97.33%	0.00%	1	b	yes mumblex
97.34%	0.00%	1	b^m	the ninety-eight
97.34%	0.00%	1	bf	strictly your skill
97.34%	0.00%	1	b^m	the chinese type
97.34%	0.00%	1	br	what hockey
97.34%	0.00%	1	b^m	in science
97.35%	0.00%	1	b^m	newhart
97.35%	0.00%	1	bf	never
97.35%	0.00%	1	b	man
97.35%	0.00%	1	b^m	oh houston 's
97.36%	0.00%	1	b^m	visit
97.36%	0.00%	1	ba	huh
97.36%	0.00%	1	b	kind of
97.36%	0.00%	1	b^m	alzheimer
97.36%	0.00%	1	b^m	five and two
97.37%	0.00%	1	bf	you do n't
97.37%	0.00%	1	b	oh but
97.37%	0.00%	1	bf	mumblex temporary
97.37%	0.00%	1	ba	god forbid
97.38%	0.00%	1	bh	oh she did
97.38%	0.00%	1	ba	by all means
97.38%	0.00%	1	ba	oh how pretty
97.38%	0.00%	1	ba	naturally
97.38%	0.00%	1	b	well then yes
97.39%	0.00%	1	b	well yeah uh
97.39%	0.00%	1	ba	that is odd
97.39%	0.00%	1	b	um right
97.39%	0.00%	1	ba	good lord
97.40%	0.00%	1	bk	pennsylvania
97.40%	0.00%	1	bf	eerie feeling
97.40%	0.00%	1	b	both
97.40%	0.00%	1	ba	i 'll be
97.40%	0.00%	1	bk	oh quality okay
97.41%	0.00%	1	b^m	trinity
97.41%	0.00%	1	b^m	oh four
97.41%	0.00%	1	b	so
97.41%	0.00%	1	b^m	north african
97.42%	0.00%	1	b^m	too hot
97.42%	0.00%	1	ba	that is amazing
97.42%	0.00%	1	b^m	salvia
97.42%	0.00%	1	b^m	warm
97.42%	0.00%	1	ba	i got you
97.43%	0.00%	1	b	and so okay
97.43%	0.00%	1	ba	goodness sake
97.43%	0.00%	1	b	australia
97.43%	0.00%	1	b	pop-up
97.44%	0.00%	1	b	oh the potato
97.44%	0.00%	1	bf	with those degrees
97.44%	0.00%	1	bf	oh that was
97.44%	0.00%	1	ba	how weird
97.44%	0.00%	1	ba	gee-
97.45%	0.00%	1	bf	relax
97.45%	0.00%	1	b^m	care provider
97.45%	0.00%	1	b	ye- uh-huh
97.45%	0.00%	1	ba	uh very good
97.46%	0.00%	1	ba	so hey
97.46%	0.00%	1	b^m	internal
97.46%	0.00%	1	ba	uh quite large
97.46%	0.00%	1	b	then be gone
97.47%	0.00%	1	ba	i know what
97.47%	0.00%	1	ba	for goodness sakes
97.47%	0.00%	1	b^m	cliff i see
97.47%	0.00%	1	ba	i guess so
97.47%	0.00%	1	b	does he
97.48%	0.00%	1	ba	that 's super
97.48%	0.00%	1	b^m	chop them up
97.48%	0.00%	1	b	um all right
97.48%	0.00%	1	bf	different ethnic groups
97.49%	0.00%	1	b	some place else
97.49%	0.00%	1	ba	thanks a lot
97.49%	0.00%	1	ba	that speaks
97.49%	0.00%	1	ba	oh fun
97.49%	0.00%	1	ba	oh okay
97.50%	0.00%	1	ba	what a shame
97.50%	0.00%	1	b^m	latin america
97.50%	0.00%	1	b^m	young mothers or
97.50%	0.00%	1	bd	not really
97.51%	0.00%	1	ba	very seriously
97.51%	0.00%	1	bf	fifteen years
97.51%	0.00%	1	b^m	privacy
97.51%	0.00%	1	b^m	every one
97.51%	0.00%	1	b^m	damp
97.52%	0.00%	1	b	oh my
97.52%	0.00%	1	bf	actual names
97.52%	0.00%	1	ba	pretty sad
97.52%	0.00%	1	ba	good planning
97.53%	0.00%	1	b^m	purdue
97.53%	0.00%	1	b^m	all different
97.53%	0.00%	1	b	that 's great
97.53%	0.00%	1	b^m	huh illegal
97.53%	0.00%	1	ba	that is incredible
97.54%	0.00%	1	bh	oh it is
97.54%	0.00%	1	b^m	birmingham
97.54%	0.00%	1	bf	it is
97.54%	0.00%	1	bd	well i was
97.55%	0.00%	1	b^m	to find it
97.55%	0.00%	1	b	probably find someone
97.55%	0.00%	1	br	the accuracy
97.55%	0.00%	1	b^m	you want to
97.55%	0.00%	1	bh	it does
97.56%	0.00%	1	b^m	sherman texas oh
97.56%	0.00%	1	bf	crazy
97.56%	0.00%	1	b	is n't that
97.56%	0.00%	1	bf	bad knee
97.57%	0.00%	1	b^m	converter
97.57%	0.00%	1	bk	oh okay uh
97.57%	0.00%	1	bf	that 'll come
97.57%	0.00%	1	b^m	the yellow
97.57%	0.00%	1	ba	seriously
97.58%	0.00%	1	b^m	bermuda
97.58%	0.00%	1	ba	oh how sweet
97.58%	0.00%	1	bk	oh ok-
97.58%	0.00%	1	b	hopkins
97.59%	0.00%	1	bk	oh from texas
97.59%	0.00%	1	bf	you have two
97.59%	0.00%	1	ba	gosh anyway
97.59%	0.00%	1	b	righto
97.59%	0.00%	1	b^m	twelve and sixteen
97.60%	0.00%	1	bf	somebody you trust
97.60%	0.00%	1	b	surely
97.60%	0.00%	1	ba	doggone it
97.60%	0.00%	1	bf	common problem
97.61%	0.00%	1	bf	the heavy metal
97.61%	0.00%	1	b	just pets
97.61%	0.00%	1	ba	that sounds
97.61%	0.00%	1	ba	oh gol
97.61%	0.00%	1	ba	oh my um
97.62%	0.00%	1	ba	i can bel
97.62%	0.00%	1	bf	that was yours
97.62%	0.00%	1	b^m	bonus
97.62%	0.00%	1	bd	not always
97.63%	0.00%	1	b	infant
97.63%	0.00%	1	ba	that helps
