aggregated	self	category	text
93.70%	0.01%	6	bh	how about that
93.71%	0.01%	6	b^m	right
93.73%	0.01%	6	bh	are they
93.74%	0.01%	6	ba	that would be nice
93.75%	0.01%	6	b	well okay
93.77%	0.01%	6	b	uh-huh um
93.78%	0.01%	6	ba	how nice
93.79%	0.01%	6	b	uh okay
93.80%	0.01%	6	ba	all right
93.82%	0.01%	6	ba	oh lord
93.83%	0.01%	6	b	huh yeah
93.84%	0.01%	6	b	ah
93.86%	0.01%	6	ba	yeah
93.87%	0.01%	6	ba	that 's cool
93.88%	0.01%	6	ba	very good
93.89%	0.01%	5	ba	oh that sounds good
93.90%	0.01%	5	b	uh yes
93.92%	0.01%	5	br	i 'm sorry
93.93%	0.01%	5	b	mumblex yeah
93.94%	0.01%	5	bd	oh that 's okay
93.95%	0.01%	5	ba	oh shoot
93.96%	0.01%	5	b	right uh
93.97%	0.01%	5	ba	yes sir
93.98%	0.01%	5	ba	well that sounds interesting
93.99%	0.01%	5	bh	oh is it
94.00%	0.01%	5	ba	cool
94.01%	0.01%	5	b	and
94.02%	0.01%	5	b	yeah well
94.03%	0.01%	5	bh	is n't that funny
94.05%	0.01%	5	bd	that 's all right
94.06%	0.01%	5	b	oh no
94.07%	0.01%	5	b	okay uh
94.08%	0.01%	5	b	yeah you know
94.09%	0.01%	5	bh	you do
94.10%	0.01%	5	b	uh oh
94.11%	0.01%	5	ba	that sounds fun
94.12%	0.01%	5	b	um um
94.13%	0.01%	5	bd	okay
94.14%	0.01%	5	br	i beg your pardon
94.15%	0.01%	5	ba	definitely
94.17%	0.01%	5	b	uh huh
94.17%	0.01%	4	ba	it is
94.18%	0.01%	4	ba	ouch
94.19%	0.01%	4	bk	oh yes
94.20%	0.01%	4	b	oh huh-uh
94.21%	0.01%	4	ba	that 's incredible
94.22%	0.01%	4	ba	oh that 's terrible
94.23%	0.01%	4	bk	oh all right
94.23%	0.01%	4	ba	oh well good
94.24%	0.01%	4	bh	you 're kidding
94.25%	0.01%	4	bh	are you really
94.26%	0.01%	4	bh	oh
94.27%	0.01%	4	bh	oh are you really
94.28%	0.01%	4	ba	no
94.29%	0.01%	4	b^m	oh yeah
94.30%	0.01%	4	ba	i can understand that
94.30%	0.01%	4	ba	that 's terrible
94.31%	0.01%	4	b	so uh yeah
94.32%	0.01%	4	bk	ooh
94.33%	0.01%	4	b	uh right
94.34%	0.01%	4	b	uh-huh uh
94.35%	0.01%	4	ba	that 's really neat
94.36%	0.01%	4	ba	that 's fun
94.37%	0.01%	4	bk	no
94.37%	0.01%	4	ba	that is good
94.38%	0.01%	4	ba	uh oh
94.39%	0.01%	4	ba	that
94.40%	0.01%	4	bh	oh do they
94.41%	0.01%	4	br	um
94.42%	0.01%	4	ba	wow that 's great
94.43%	0.01%	4	b	is that right
94.43%	0.01%	4	ba	that 's really good
94.44%	0.01%	4	ba	well
94.45%	0.01%	4	b	wow
94.46%	0.01%	4	ba	oh really
94.47%	0.01%	4	b	of course
94.48%	0.01%	4	b	um um uh-huh
94.49%	0.01%	4	b	um okay
94.50%	0.01%	4	ba	how interesting
94.50%	0.01%	4	b	and uh yeah
94.51%	0.01%	4	b	yeah oh
94.52%	0.01%	4	bh	is n't that amazing
94.53%	0.01%	4	ba	that 's tough
94.54%	0.01%	3	ba	oh that 's funny
94.54%	0.01%	3	ba	that 's true too
94.55%	0.01%	3	bh	is n't that interesting
94.56%	0.01%	3	ba	oh how awful
94.56%	0.01%	3	ba	good idea
94.57%	0.01%	3	ba	oh that is good
94.58%	0.01%	3	b	anyway
94.58%	0.01%	3	bh	oh you have
94.59%	0.01%	3	ba	that is true
94.60%	0.01%	3	bh	are you serious
94.60%	0.01%	3	b^m	and yeah
94.61%	0.01%	3	bh	you do n't
94.62%	0.01%	3	bk	huh okay
94.62%	0.01%	3	br	what did you say
94.63%	0.01%	3	bk	oh okay um
94.63%	0.01%	3	ba	fantastic
94.64%	0.01%	3	ba	that sounds nice
94.65%	0.01%	3	ba	oh that 's cool
94.65%	0.01%	3	ba	oh there you go
94.66%	0.01%	3	ba	oh that 's right
94.67%	0.01%	3	bh	oh you do n't
94.67%	0.01%	3	ba	oh me
94.68%	0.01%	3	bh	you think so
94.69%	0.01%	3	bh	think so
94.69%	0.01%	3	ba	very true
94.70%	0.01%	3	b	um yes
94.71%	0.01%	3	ba	that is neat
94.71%	0.01%	3	ba	that 's it
94.72%	0.01%	3	ba	well that is interesting
94.73%	0.01%	3	b	yeah huh
94.73%	0.01%	3	ba	that would be great
94.74%	0.01%	3	ba	oh very good
94.75%	0.01%	3	bh	oh you have n't
94.75%	0.01%	3	ba	oh yuck
94.76%	0.01%	3	ba	well of course
94.77%	0.01%	3	ba	oh i 'm sure
94.77%	0.01%	3	br	the what
94.78%	0.01%	3	ba	oh i can imagine
94.78%	0.01%	3	b	yeah mumblex
94.79%	0.01%	3	b	no kidding
94.80%	0.01%	3	b	uh-hum
94.80%	0.01%	3	br	a what
94.81%	0.01%	3	b	oh oh yeah
94.82%	0.01%	3	ba	whoops
94.82%	0.01%	3	ba	nice
94.83%	0.01%	3	ba	it really is
94.84%	0.01%	3	br	i 'm sorry what
94.84%	0.01%	3	b	oh um
94.85%	0.01%	3	ba	neat
94.86%	0.01%	3	ba	it 's great
94.86%	0.01%	3	ba	that is great
94.87%	0.01%	3	b	uh uh
94.88%	0.01%	3	b	ugh
94.88%	0.01%	3	b	good
94.89%	0.01%	3	ba	that 's hilarious
94.90%	0.01%	3	ba	that 's exactly right
94.90%	0.01%	3	bh	you think
94.91%	0.01%	3	b	i understand
94.92%	0.01%	3	ba	that 's wild
94.92%	0.01%	3	b	okay um
94.93%	0.01%	3	bh	were you
94.93%	0.01%	3	ba	well that sounds good
94.94%	0.01%	3	ba	well that sounds nice
94.95%	0.01%	3	ba	that 's scary
94.95%	0.01%	3	ba	oh that 's exciting
94.96%	0.01%	3	ba	i can believe that
94.97%	0.01%	3	ba	well that 's right
94.97%	0.01%	3	ba	well how neat
94.98%	0.01%	3	ba	oh how fun
94.99%	0.01%	3	ba	it 's true
94.99%	0.01%	3	ba	huh that 's interesting
95.00%	0.01%	3	ba	oh good grief
95.01%	0.01%	3	ba	oh of course
95.01%	0.01%	3	b	gosh
95.02%	0.01%	3	ba	oh that is nice
95.03%	0.01%	3	ba	oh i imagine
95.03%	0.01%	3	bf	oh you do
95.04%	0.01%	3	ba	that makes sense
95.05%	0.01%	3	b	oh are you
95.05%	0.01%	3	ba	oh i know it
95.06%	0.01%	3	ba	that 's correct
95.07%	0.01%	3	ba	my gosh
95.07%	0.01%	3	ba	well that is great
95.08%	0.01%	3	ba	how neat
95.08%	0.01%	3	ba	that 's very true
95.09%	0.01%	3	bk	uh okay
95.10%	0.01%	3	b	oh oh i see
95.10%	0.01%	3	ba	sounds wonderful
95.11%	0.01%	3	b	well yes
95.12%	0.01%	3	ba	oh how exciting
95.12%	0.01%	3	ba	oh definitely
95.13%	0.01%	3	bh	do you really
95.14%	0.01%	3	bk	um i see
95.14%	0.01%	3	b	oh huh
95.15%	0.01%	3	ba	well wonderful
95.16%	0.01%	3	b	oh well yeah
95.16%	0.01%	3	ba	oh congratulations
95.17%	0.01%	3	bh	oh you did
95.18%	0.01%	3	bk	okay uh
95.18%	0.01%	3	ba	well good for you
95.19%	0.00%	2	ba	this is true
95.19%	0.00%	2	b	see
95.20%	0.00%	2	ba	incredible
95.20%	0.00%	2	ba	well that is neat
95.20%	0.00%	2	ba	uh that 's nice
95.21%	0.00%	2	bh	is it really
95.21%	0.00%	2	ba	i can understand
95.22%	0.00%	2	ba	i believe it
95.22%	0.00%	2	bh	is n't that terrible
95.23%	0.00%	2	b	that 's true
95.23%	0.00%	2	ba	i will be darned
95.23%	0.00%	2	ba	um that 's neat
95.24%	0.00%	2	ba	of course
95.24%	0.00%	2	b	right mumblex
95.25%	0.00%	2	bf	it 's real hard
95.25%	0.00%	2	b	maybe so
95.26%	0.00%	2	ba	good deal
95.26%	0.00%	2	ba	i believe that
95.27%	0.00%	2	bh	oh is it really
95.27%	0.00%	2	ba	good point
95.27%	0.00%	2	ba	it 's amazing
95.28%	0.00%	2	ba	that 's exactly it
95.28%	0.00%	2	bh	oh is he
95.29%	0.00%	2	ba	ooh that sounds good
95.29%	0.00%	2	ba	oh that sounds interesting
95.30%	0.00%	2	ba	well that 's fantastic
95.30%	0.00%	2	ba	i expect so
95.30%	0.00%	2	b^m	virginia
95.31%	0.00%	2	bd	oh no
95.31%	0.00%	2	b	okay yeah
95.32%	0.00%	2	bd	it 's okay
95.32%	0.00%	2	b	r- right
95.33%	0.00%	2	bh	would you
95.33%	0.00%	2	b^m	dallas
95.33%	0.00%	2	b	gee
95.34%	0.00%	2	ba	that will be neat
95.34%	0.00%	2	b^m	wonder years
95.35%	0.00%	2	bk	oh really
95.35%	0.00%	2	br	who
95.36%	0.00%	2	ba	uh gosh
95.36%	0.00%	2	ba	wow yeah
95.37%	0.00%	2	ba	oh that sounds lovely
95.37%	0.00%	2	ba	ah
95.37%	0.00%	2	bh	no kidding
95.38%	0.00%	2	br	no
95.38%	0.00%	2	ba	well i understand
95.39%	0.00%	2	bd	no problem
95.39%	0.00%	2	ba	that sounds interesting
95.40%	0.00%	2	ba	absolutely
95.40%	0.00%	2	ba	well that 's something
95.40%	0.00%	2	ba	unfortunately
95.41%	0.00%	2	ba	that is nice
95.41%	0.00%	2	ba	oh i 'll bet
95.42%	0.00%	2	ba	holy smoke
95.42%	0.00%	2	bh	did you really
95.43%	0.00%	2	ba	well that 's funny
95.43%	0.00%	2	ba	oh my lord
95.43%	0.00%	2	ba	oh mercy
95.44%	0.00%	2	ba	well i can imagine
95.44%	0.00%	2	ba	pretty good
95.45%	0.00%	2	ba	well that sounds neat
95.45%	0.00%	2	b	huh uh-huh
95.46%	0.00%	2	ba	oh it is
95.46%	0.00%	2	b	exactly
95.47%	0.00%	2	ba	good heavens
95.47%	0.00%	2	ba	unbelievable
95.47%	0.00%	2	ba	that 's okay
95.48%	0.00%	2	bh	oh they did
95.48%	0.00%	2	bd	uh-huh
95.49%	0.00%	2	b^m	nothing
95.49%	0.00%	2	ba	but gosh
95.50%	0.00%	2	bd	yeah
95.50%	0.00%	2	b	righ-
95.50%	0.00%	2	ba	oh that 's weird
95.51%	0.00%	2	b	well all right
95.51%	0.00%	2	ba	oh that sounds
95.52%	0.00%	2	bk	well okay
95.52%	0.00%	2	ba	oh how wonderful
95.53%	0.00%	2	ba	bang
95.53%	0.00%	2	bh	oh it did
95.53%	0.00%	2	ba	that 's real nice
95.54%	0.00%	2	b	do you
95.54%	0.00%	2	b	right uh-huh
95.55%	0.00%	2	b	oh uh
95.55%	0.00%	2	ba	for sure
95.56%	0.00%	2	ba	mine too
95.56%	0.00%	2	b	ye- yes
95.57%	0.00%	2	ba	yes
95.57%	0.00%	2	ba	sounds neat
95.57%	0.00%	2	bd	
95.58%	0.00%	2	ba	that sounds wonderful
95.58%	0.00%	2	b^m	nursing
95.59%	0.00%	2	ba	sounds like it
95.59%	0.00%	2	ba	that 's too bad
95.60%	0.00%	2	ba	oh that is great
95.60%	0.00%	2	ba	that sounds really good
95.60%	0.00%	2	bh	is n't that something
95.61%	0.00%	2	ba	i ca n't imagine
95.61%	0.00%	2	b	alright
95.62%	0.00%	2	ba	that 's really true
95.62%	0.00%	2	ba	i bet it was
95.63%	0.00%	2	ba	gee whiz
95.63%	0.00%	2	ba	well that makes sense
95.63%	0.00%	2	ba	that 's horrible
95.64%	0.00%	2	b	uh-huh huh
95.64%	0.00%	2	ba	i i can imagine
95.65%	0.00%	2	bh	oh they do
95.65%	0.00%	2	b	uh-oh
95.66%	0.00%	2	b	right yeah
95.66%	0.00%	2	ba	yow
95.67%	0.00%	2	b	well right
95.67%	0.00%	2	ba	that 's cute
95.67%	0.00%	2	ba	oh how great
95.68%	0.00%	2	ba	i would think so
95.68%	0.00%	2	bh	does it
95.69%	0.00%	2	b	uh-
95.69%	0.00%	2	bh	oh do you really
95.70%	0.00%	2	ba	so that 's nice
95.70%	0.00%	2	bh	is that so
95.70%	0.00%	2	bf	and
95.71%	0.00%	2	ba	no doubt
95.71%	0.00%	2	b	yes well
95.72%	0.00%	2	ba	that is sad
95.72%	0.00%	2	b	oh gosh
95.73%	0.00%	2	ba	that would be neat
95.73%	0.00%	2	b	i do n't know
95.73%	0.00%	2	ba	oh whoa
95.74%	0.00%	2	bh	oh does he
95.74%	0.00%	2	ba	that 's sad
95.75%	0.00%	2	ba	that 's probably true
95.75%	0.00%	2	ba	i know the feeling
95.76%	0.00%	2	ba	that 's excellent
95.76%	0.00%	2	bk	oh oh okay
95.77%	0.00%	2	ba	it sure does
95.77%	0.00%	2	b	oh yeah uh
95.77%	0.00%	2	b	absolutely
95.78%	0.00%	2	ba	whoa
95.78%	0.00%	2	b^m	two cats
95.79%	0.00%	2	ba	it sure is
95.79%	0.00%	2	ba	sounds interesting
95.80%	0.00%	2	ba	sure it is
95.80%	0.00%	2	bh	okay
95.80%	0.00%	2	ba	uh-oh
95.81%	0.00%	2	ba	oh that 's tough
95.81%	0.00%	2	b	and then yeah
95.82%	0.00%	2	b	yes um
95.82%	0.00%	2	ba	very good point
95.83%	0.00%	2	ba	that is for sure
95.83%	0.00%	2	bh	oh you can
95.83%	0.00%	2	b	but um no
95.84%	0.00%	2	bh	they do
95.84%	0.00%	2	ba	hm that 's interesting
95.85%	0.00%	2	ba	how fun
95.85%	0.00%	2	bh	do they
95.86%	0.00%	2	ba	oh no kidding
95.86%	0.00%	2	b	well good to hear
95.87%	0.00%	2	b	well uh yeah
95.87%	0.00%	2	ba	that 's not bad
95.87%	0.00%	2	b^m	paris
95.88%	0.00%	2	bh	oh it does
95.88%	0.00%	2	ba	that 's very good
95.89%	0.00%	2	ba	wow that 's
95.89%	0.00%	2	b^m	yes
95.90%	0.00%	2	b	all right uh
95.90%	0.00%	2	ba	i 'll say
95.90%	0.00%	2	b	ye-
95.91%	0.00%	2	ba	that 's an idea
95.91%	0.00%	2	ba	well that sounds fun
95.92%	0.00%	2	ba	it did
95.92%	0.00%	2	bk	that 's right
95.93%	0.00%	2	bh	did it really
95.93%	0.00%	2	ba	that 's really nice
95.93%	0.00%	2	bf	goal directed
95.94%	0.00%	2	ba	i 'll be darn
95.94%	0.00%	2	ba	that 's a lot
95.95%	0.00%	2	b	okay well
95.95%	0.00%	2	ba	beautiful
95.96%	0.00%	2	br	what is that
95.96%	0.00%	2	ba	oh cool
95.97%	0.00%	2	ba	well sure
95.97%	0.00%	2	ba	oh well
95.97%	0.00%	2	ba	oh how about that
95.98%	0.00%	2	b	see yeah
95.98%	0.00%	2	bh	what
95.99%	0.00%	2	ba	bless your heart
95.99%	0.00%	2	b^m	in dallas
96.00%	0.00%	2	ba	certainly
96.00%	0.00%	2	ba	that 's a good
96.00%	0.00%	1	ba	i really do
96.00%	0.00%	1	bh	is n't that great
96.01%	0.00%	1	ba	that is wild
96.01%	0.00%	1	b^m	buccaneers
96.01%	0.00%	1	b	no um
96.01%	0.00%	1	b	surely
96.02%	0.00%	1	b^m	too hot
96.02%	0.00%	1	bk	oh i see uh
96.02%	0.00%	1	ba	well i understand that
96.02%	0.00%	1	b^m	five heartbeats
96.02%	0.00%	1	b	ha
96.03%	0.00%	1	bf	oh you do n't
96.03%	0.00%	1	b^m	a junk room
96.03%	0.00%	1	b	well yeah uh
96.03%	0.00%	1	ba	they were
96.03%	0.00%	1	ba	seriously
96.04%	0.00%	1	b	ye- uh-huh
96.04%	0.00%	1	br	say
96.04%	0.00%	1	ba	oh that was great
96.04%	0.00%	1	b	tahiti
96.05%	0.00%	1	bh	oh is that ri-
96.05%	0.00%	1	bf	have that
96.05%	0.00%	1	b^m	in my area
96.05%	0.00%	1	b	oh okay mumblex
96.05%	0.00%	1	bf	put the colors away
96.06%	0.00%	1	bk	uh uh-huh
96.06%	0.00%	1	bf	crazy
96.06%	0.00%	1	b^m	eat at six yeah
96.06%	0.00%	1	ba	oh well yeah
96.07%	0.00%	1	bf	talk too long
96.07%	0.00%	1	ba	oh good idea
96.07%	0.00%	1	b^m	wednesday at seven thirty
96.07%	0.00%	1	b^m	they did
96.07%	0.00%	1	bf	yearly fee
96.08%	0.00%	1	ba	um fattening
96.08%	0.00%	1	bf	two
96.08%	0.00%	1	b	that 's okay
96.08%	0.00%	1	ba	it certainly is
96.08%	0.00%	1	bf	your kids
96.09%	0.00%	1	ba	oh that 's it
96.09%	0.00%	1	ba	oh just beautiful
96.09%	0.00%	1	bd	oh that 's silly
96.09%	0.00%	1	ba	oh golly
96.10%	0.00%	1	b^m	political science oh
96.10%	0.00%	1	b^m	but yeah
96.10%	0.00%	1	ba	that is really sad
96.10%	0.00%	1	bf	you do n't
96.10%	0.00%	1	ba	ooh that 's great
96.11%	0.00%	1	b	righto
96.11%	0.00%	1	ba	that 's the problem
96.11%	0.00%	1	b	good self help
96.11%	0.00%	1	b	but then again yeah
96.12%	0.00%	1	ba	well gosh
96.12%	0.00%	1	b^m	watching
96.12%	0.00%	1	ba	that is very good
96.12%	0.00%	1	bd	that 's fine
96.12%	0.00%	1	b^m	north african
96.13%	0.00%	1	bf	everybody got excited
96.13%	0.00%	1	ba	but uh boy
96.13%	0.00%	1	bk	uh oh
96.13%	0.00%	1	bf	it 's easy
96.13%	0.00%	1	ba	and that 's hard
96.14%	0.00%	1	ba	that 's understandable exactly
96.14%	0.00%	1	ba	that 'd be funny
96.14%	0.00%	1	ba	oh they do too
96.14%	0.00%	1	ba	goodness sake
96.15%	0.00%	1	ba	that 's really great
96.15%	0.00%	1	ba	oh that 's sad
96.15%	0.00%	1	bf	lunch bags
96.15%	0.00%	1	b	it 's uh
96.15%	0.00%	1	b^m	s i n
96.16%	0.00%	1	bf	oh you are
96.16%	0.00%	1	ba	what a cute idea
96.16%	0.00%	1	b^m	thirty
96.16%	0.00%	1	bf	different ethnic groups
96.17%	0.00%	1	bk	yes
96.17%	0.00%	1	b	oh did n't you
96.17%	0.00%	1	b^m	still
96.17%	0.00%	1	ba	that is excellent
96.17%	0.00%	1	b^m	finance
96.18%	0.00%	1	b	uh i
96.18%	0.00%	1	ba	that that makes logic
96.18%	0.00%	1	bh	is n't that strange
96.18%	0.00%	1	bh	an eel
96.18%	0.00%	1	b	oh mumblex yeah
96.19%	0.00%	1	ba	oh is it okay
96.19%	0.00%	1	br	beg your pardon
96.19%	0.00%	1	b	anybody
96.19%	0.00%	1	ba	well that could be
96.20%	0.00%	1	ba	oh my g- goodness
96.20%	0.00%	1	ba	oh that is hard
96.20%	0.00%	1	bh	it is n't
96.20%	0.00%	1	b^m	any day now
96.20%	0.00%	1	bk	oh h-
96.21%	0.00%	1	ba	that sounds about right
96.21%	0.00%	1	ba	that is so frightening
96.21%	0.00%	1	bf	so you could tell
96.21%	0.00%	1	ba	well that 's fun
96.22%	0.00%	1	br	argentina
96.22%	0.00%	1	ba	i
96.22%	0.00%	1	bf	not as independence
96.22%	0.00%	1	bf	the heavy metal
96.22%	0.00%	1	b^m	oh improve upon that
96.23%	0.00%	1	ba	i imagine i imagine
96.23%	0.00%	1	bf	you were a bookkeeper
96.23%	0.00%	1	b	you too
96.23%	0.00%	1	b^m	gary gilmore
96.23%	0.00%	1	bh	you 're kidding me
96.24%	0.00%	1	ba	uh well qualify that
96.24%	0.00%	1	b	a running total
96.24%	0.00%	1	ba	well that sounds great
96.24%	0.00%	1	br	the pitching coach
96.25%	0.00%	1	ba	does it oh
96.25%	0.00%	1	ba	oh well how interesting
96.25%	0.00%	1	b^m	fernando
96.25%	0.00%	1	ba	so that is good
96.25%	0.00%	1	ba	god it 's amazing
96.26%	0.00%	1	ba	not all
96.26%	0.00%	1	b^m	a week
96.26%	0.00%	1	ba	phew
96.26%	0.00%	1	ba	ugh neat
96.27%	0.00%	1	b^m	battle cry of freedom
96.27%	0.00%	1	ba	uh good
96.27%	0.00%	1	b	morocco
