aggregated	self	category	text
87.80%	0.04%	21	ba	my goodness
87.84%	0.04%	21	bh	
87.89%	0.04%	21	bh	yeah
87.93%	0.04%	21	ba	there you go
87.98%	0.04%	21	ba	jeez
88.02%	0.04%	20	bk	all right
88.06%	0.04%	20	ba	boy
88.10%	0.04%	20	ba	ooh
88.14%	0.04%	20	b^m	
88.19%	0.04%	20	b^m	uh-huh
88.23%	0.04%	19	ba	oh gee
88.27%	0.04%	19	ba	well that 's great
88.31%	0.04%	19	ba	that 's neat
88.34%	0.04%	18	ba	oh my word
88.38%	0.04%	18	br	pardon me
88.42%	0.04%	18	b	that 's right
88.46%	0.04%	18	ba	true
88.49%	0.04%	17	b	you know
88.53%	0.04%	17	ba	that 's nice
88.57%	0.04%	17	ba	well that 's interesting
88.60%	0.04%	17	bk	
88.64%	0.04%	17	b	yeah uh
88.67%	0.03%	16	bh	is it
88.70%	0.03%	16	ba	gee
88.74%	0.03%	16	b	um uh-huh
88.77%	0.03%	16	bh	oh did you
88.80%	0.03%	15	ba	that sounds good
88.84%	0.03%	15	ba	oh i know
88.87%	0.03%	15	bk	oh yeah
88.90%	0.03%	15	bh	did you
88.93%	0.03%	15	b	oh right
88.96%	0.03%	15	br	pardon
88.99%	0.03%	15	ba	oh my god
89.02%	0.03%	15	ba	oh man
89.06%	0.03%	15	ba	oh that 's interesting
89.09%	0.03%	15	ba	that 's funny
89.12%	0.03%	15	ba	that 's wonderful
89.15%	0.03%	15	b	oh sure
89.18%	0.03%	14	ba	well that 's neat
89.21%	0.03%	14	ba	well that 's nice
89.24%	0.03%	14	b	but yeah
89.27%	0.03%	14	ba	oh yes
89.30%	0.03%	14	b	ooh
89.33%	0.03%	14	ba	i can imagine
89.36%	0.03%	14	ba	oh god
89.39%	0.03%	13	ba	oh that 's wonderful
89.41%	0.03%	13	ba	oh how neat
89.44%	0.03%	13	ba	i see
89.47%	0.03%	13	bh	are you
89.49%	0.03%	13	br	what 's that
89.52%	0.03%	13	ba	golly
89.55%	0.03%	13	ba	oh that 's neat
89.57%	0.03%	12	ba	you 're kidding
89.60%	0.03%	12	b	i know
89.63%	0.03%	12	ba	that 's for sure
89.65%	0.03%	12	ba	no kidding
89.68%	0.03%	12	b	well
89.70%	0.03%	12	ba	really
89.73%	0.03%	12	b	oh well
89.75%	0.02%	11	bh	oh do you
89.77%	0.02%	11	ba	well great
89.80%	0.02%	11	b	but uh yeah
89.82%	0.02%	11	b	uh uh-huh
89.84%	0.02%	11	bk	oh uh-huh
89.87%	0.02%	11	b	hm
89.89%	0.02%	11	ba	that 's pretty good
89.91%	0.02%	10	bk	right
89.93%	0.02%	10	b	yeah um
89.95%	0.02%	10	ba	oh jeez
89.97%	0.02%	10	ba	that is right
89.99%	0.02%	10	ba	oh i bet
90.02%	0.02%	10	ba	goodness
90.04%	0.02%	10	ba	that 's
90.06%	0.02%	10	b	oh oh
90.08%	0.02%	10	ba	wonderful
90.10%	0.02%	10	ba	oh how nice
90.12%	0.02%	9	b	um-hum
90.14%	0.02%	9	ba	that sounds great
90.16%	0.02%	9	ba	hey
90.18%	0.02%	9	ba	good for you
90.19%	0.02%	9	ba	god
90.21%	0.02%	9	ba	i know what you mean
90.23%	0.02%	9	ba	i 'll be darned
90.25%	0.02%	9	bd	no
90.27%	0.02%	9	br	
90.29%	0.02%	8	ba	my word
90.30%	0.02%	8	bh	no
90.32%	0.02%	8	bh	oh are you
90.34%	0.02%	8	ba	i understand that
90.35%	0.02%	8	bh	was it
90.37%	0.02%	8	ba	i 'll bet
90.39%	0.02%	8	b	uh-uh
90.40%	0.02%	8	ba	ugh
90.42%	0.02%	8	ba	interesting
90.44%	0.02%	8	ba	that 's amazing
90.46%	0.02%	8	ba	i 'm sure
90.47%	0.02%	8	br	excuse me
90.49%	0.02%	8	ba	how funny
90.50%	0.01%	7	ba	man
90.52%	0.01%	7	ba	that 's a good idea
90.53%	0.01%	7	bh	have you
90.55%	0.01%	7	bh	oh have you
90.56%	0.01%	7	ba	oh well that 's good
90.58%	0.01%	7	ba	i imagine
90.59%	0.01%	7	ba	oh wonderful
90.61%	0.01%	7	b	and yeah
90.62%	0.01%	7	ba	oh how funny
90.64%	0.01%	7	bh	oh you do
90.65%	0.01%	7	ba	oh neat
90.67%	0.01%	7	ba	right
90.68%	0.01%	7	ba	oh i see
90.70%	0.01%	7	ba	oh nice
90.71%	0.01%	7	ba	i know it
90.73%	0.01%	7	b	oh mumblex
90.74%	0.01%	7	ba	good grief
90.75%	0.01%	7	ba	oh that 's
90.77%	0.01%	7	bh	oh you are
90.78%	0.01%	7	ba	oh you 're kidding
90.80%	0.01%	7	ba	how about that
90.81%	0.01%	6	b	well okay
90.82%	0.01%	6	b	ah
90.84%	0.01%	6	ba	yeah
90.85%	0.01%	6	ba	all right
90.86%	0.01%	6	ba	that 's cool
90.87%	0.01%	6	ba	oh lord
90.89%	0.01%	6	b	but um yeah
90.90%	0.01%	6	b	huh yeah
90.91%	0.01%	6	bh	are they
90.93%	0.01%	6	bh	how about that
90.94%	0.01%	6	ba	how nice
90.95%	0.01%	6	ba	oh that 's pretty good
90.96%	0.01%	6	ba	well that 's wonderful
90.98%	0.01%	6	b^m	right
90.99%	0.01%	6	ba	well that 's true
91.00%	0.01%	6	ba	that would be nice
91.01%	0.01%	6	b	uh-huh um
91.03%	0.01%	6	ba	very good
91.04%	0.01%	6	b	uh okay
91.05%	0.01%	6	ba	that 's awful
91.06%	0.01%	5	bd	oh that 's okay
91.07%	0.01%	5	b	and
91.08%	0.01%	5	b	oh no
91.09%	0.01%	5	bd	okay
91.10%	0.01%	5	b	yeah you know
91.11%	0.01%	5	bh	is n't that funny
91.13%	0.01%	5	b	yeah well
91.14%	0.01%	5	ba	oh for heaven 's sake
91.15%	0.01%	5	b	uh yes
91.16%	0.01%	5	br	i 'm sorry
91.17%	0.01%	5	br	i beg your pardon
91.18%	0.01%	5	bh	you do
91.19%	0.01%	5	b	uh oh
91.20%	0.01%	5	b	okay uh
91.21%	0.01%	5	ba	well that sounds interesting
91.22%	0.01%	5	ba	cool
91.23%	0.01%	5	ba	yes sir
91.24%	0.01%	5	ba	that sounds fun
91.25%	0.01%	5	ba	oh shoot
91.26%	0.01%	5	b	uh huh
91.27%	0.01%	5	ba	oh well that 's nice
91.28%	0.01%	5	bd	that 's all right
91.29%	0.01%	5	ba	definitely
91.30%	0.01%	5	ba	oh that sounds good
91.32%	0.01%	5	bh	oh is it
91.33%	0.01%	5	b	mumblex yeah
91.34%	0.01%	5	b	right uh
91.35%	0.01%	5	b	um um
91.36%	0.01%	4	bh	oh do they
91.36%	0.01%	4	br	um
91.37%	0.01%	4	b	of course
91.38%	0.01%	4	ba	that 's tough
91.39%	0.01%	4	ba	i can understand that
91.40%	0.01%	4	ba	that 's really good
91.41%	0.01%	4	bh	oh are you really
91.41%	0.01%	4	b	uh-huh uh
91.42%	0.01%	4	ba	it is
91.43%	0.01%	4	ba	no
91.44%	0.01%	4	b	um okay
91.45%	0.01%	4	bk	oh yes
91.46%	0.01%	4	b	oh huh-uh
91.46%	0.01%	4	ba	that 's fun
91.47%	0.01%	4	ba	that is good
91.48%	0.01%	4	ba	that 's really neat
91.49%	0.01%	4	ba	that
91.50%	0.01%	4	bh	oh
91.51%	0.01%	4	bh	is n't that amazing
91.52%	0.01%	4	bk	ooh
91.52%	0.01%	4	bh	you 're kidding
91.53%	0.01%	4	ba	that 's incredible
91.54%	0.01%	4	ba	wow that 's great
91.55%	0.01%	4	b	so uh yeah
91.56%	0.01%	4	b	is that right
91.57%	0.01%	4	ba	ouch
91.57%	0.01%	4	bh	are you really
91.58%	0.01%	4	ba	how interesting
91.59%	0.01%	4	b	uh right
91.60%	0.01%	4	ba	uh oh
91.61%	0.01%	4	ba	that 's terrible
91.62%	0.01%	4	b	um um uh-huh
91.62%	0.01%	4	bk	no
91.63%	0.01%	4	ba	oh really
91.64%	0.01%	4	ba	well
91.65%	0.01%	4	ba	oh well good
91.66%	0.01%	4	ba	i do n't blame you
91.67%	0.01%	4	b	yeah oh
91.68%	0.01%	4	b	wow
91.68%	0.01%	4	ba	oh that 's terrible
91.69%	0.01%	4	b^m	oh yeah
91.70%	0.01%	4	bk	oh all right
91.71%	0.01%	4	b	and uh yeah
91.72%	0.01%	3	b	yeah huh
91.72%	0.01%	3	ba	fantastic
91.73%	0.01%	3	ba	well that sounds good
91.73%	0.01%	3	bh	oh you did
91.74%	0.01%	3	ba	my gosh
91.75%	0.01%	3	ba	oh i can imagine
91.75%	0.01%	3	ba	oh that 's funny
91.76%	0.01%	3	ba	oh there you go
91.77%	0.01%	3	ba	it really is
91.77%	0.01%	3	ba	that 's hilarious
91.78%	0.01%	3	ba	oh definitely
91.79%	0.01%	3	bk	uh okay
91.79%	0.01%	3	ba	oh that 's a good idea
91.80%	0.01%	3	ba	oh very good
91.80%	0.01%	3	ba	that is true
91.81%	0.01%	3	bk	huh okay
91.82%	0.01%	3	ba	it 's true
91.82%	0.01%	3	ba	well that is interesting
91.83%	0.01%	3	bh	you do n't
91.84%	0.01%	3	ba	that sounds nice
91.84%	0.01%	3	ba	sounds wonderful
91.85%	0.01%	3	ba	oh that 's not bad
91.85%	0.01%	3	bh	are you serious
91.86%	0.01%	3	b	um yes
91.87%	0.01%	3	b	gosh
91.87%	0.01%	3	ba	well good for you
91.88%	0.01%	3	ba	that 's scary
91.89%	0.01%	3	b	uh-hum
91.89%	0.01%	3	bh	do you really
91.90%	0.01%	3	ba	it 's great
91.91%	0.01%	3	b	no kidding
91.91%	0.01%	3	ba	that 's true too
91.92%	0.01%	3	b^m	and yeah
91.92%	0.01%	3	ba	that 's very true
91.93%	0.01%	3	ba	that 's correct
91.94%	0.01%	3	bh	oh you have n't
91.94%	0.01%	3	bh	you think so
91.95%	0.01%	3	ba	well that 's right
91.96%	0.01%	3	ba	oh good grief
91.96%	0.01%	3	bh	oh you have
91.97%	0.01%	3	ba	how neat
91.97%	0.01%	3	ba	very true
91.98%	0.01%	3	bh	is n't that interesting
91.99%	0.01%	3	ba	oh i know it
91.99%	0.01%	3	ba	well of course
92.00%	0.01%	3	ba	whoops
92.01%	0.01%	3	ba	well that 's pretty good
92.01%	0.01%	3	ba	well that 's that 's good
92.02%	0.01%	3	ba	that would be great
92.03%	0.01%	3	ba	neat
92.03%	0.01%	3	ba	well that sounds nice
92.04%	0.01%	3	ba	well that is great
92.04%	0.01%	3	bk	okay uh
92.05%	0.01%	3	bh	oh you do n't
92.06%	0.01%	3	b	oh um
92.06%	0.01%	3	ba	good idea
92.07%	0.01%	3	ba	huh that 's interesting
92.08%	0.01%	3	br	i 'm sorry what
92.08%	0.01%	3	b	oh oh i see
92.09%	0.01%	3	br	a what
92.09%	0.01%	3	b	anyway
92.10%	0.01%	3	bk	um i see
92.11%	0.01%	3	ba	oh that 's cool
92.11%	0.01%	3	ba	oh how exciting
92.12%	0.01%	3	b	oh are you
92.13%	0.01%	3	ba	i can believe that
92.13%	0.01%	3	bh	you think
92.14%	0.01%	3	bf	oh you do
92.15%	0.01%	3	ba	that is great
92.15%	0.01%	3	ba	oh congratulations
92.16%	0.01%	3	ba	oh how fun
92.16%	0.01%	3	ba	oh i imagine
92.17%	0.01%	3	ba	oh that is good
92.18%	0.01%	3	ba	that 's exactly right
92.18%	0.01%	3	ba	that is neat
92.19%	0.01%	3	ba	oh yuck
92.20%	0.01%	3	ba	oh i 'm sure
92.20%	0.01%	3	ba	oh of course
92.21%	0.01%	3	b	ugh
92.21%	0.01%	3	ba	well wonderful
92.22%	0.01%	3	br	the what
92.23%	0.01%	3	b	okay um
92.23%	0.01%	3	ba	oh that is nice
92.24%	0.01%	3	bk	oh okay um
92.25%	0.01%	3	ba	that 's that 's a good idea
92.25%	0.01%	3	ba	oh that 's right
92.26%	0.01%	3	b	oh oh yeah
92.27%	0.01%	3	ba	oh me
92.27%	0.01%	3	b	oh huh
92.28%	0.01%	3	ba	oh how awful
92.28%	0.01%	3	b	i understand
92.29%	0.01%	3	ba	nice
92.30%	0.01%	3	b	oh well yeah
92.30%	0.01%	3	b	yeah mumblex
92.31%	0.01%	3	ba	oh that 's exciting
92.32%	0.01%	3	ba	well how neat
92.32%	0.01%	3	ba	that 's it
92.33%	0.01%	3	ba	that 's a good point
92.33%	0.01%	3	b	well yes
92.34%	0.01%	3	bh	were you
92.35%	0.01%	3	ba	that 's wild
92.35%	0.01%	3	b	uh uh
92.36%	0.01%	3	b	good
92.37%	0.01%	3	br	what did you say
92.37%	0.01%	3	bh	think so
92.38%	0.01%	3	ba	that makes sense
92.38%	0.00%	2	ba	that 's a great idea
92.39%	0.00%	2	bh	oh you can
92.39%	0.00%	2	ba	i expect so
92.40%	0.00%	2	ba	that 's too bad
92.40%	0.00%	2	br	no
92.40%	0.00%	2	b	uh-oh
92.41%	0.00%	2	ba	good deal
92.41%	0.00%	2	ba	now that 's an idea
92.42%	0.00%	2	ba	that 's not too bad
92.42%	0.00%	2	b	absolutely
92.43%	0.00%	2	ba	i believe that
92.43%	0.00%	2	ba	well that makes sense
92.43%	0.00%	2	ba	good point
92.44%	0.00%	2	b^m	nothing
92.44%	0.00%	2	ba	incredible
92.45%	0.00%	2	b	r- right
92.45%	0.00%	2	ba	that would be neat
92.46%	0.00%	2	bd	
92.46%	0.00%	2	ba	well i understand
92.46%	0.00%	2	ba	oh that will be nice
92.47%	0.00%	2	ba	well i 'll be darned
92.47%	0.00%	2	ba	sounds neat
92.48%	0.00%	2	bh	oh they did
92.48%	0.00%	2	ba	oh how great
92.48%	0.00%	2	b	that 's true
92.49%	0.00%	2	ba	that 's not bad
92.49%	0.00%	2	ba	that 's that 's for sure
92.50%	0.00%	2	bk	that 's right
92.50%	0.00%	2	ba	that 's horrible
92.51%	0.00%	2	ba	well i can imagine
92.51%	0.00%	2	ba	um that 's neat
92.51%	0.00%	2	ba	good heavens
92.52%	0.00%	2	bf	and
92.52%	0.00%	2	ba	oh no kidding
92.53%	0.00%	2	ba	that 's a good question
92.53%	0.00%	2	b	ye-
92.54%	0.00%	2	ba	well that sounds fun
92.54%	0.00%	2	ba	well that 's good too
92.54%	0.00%	2	ba	unfortunately
92.55%	0.00%	2	ba	oh mercy
92.55%	0.00%	2	ba	that 's really nice
92.56%	0.00%	2	b	ye- yes
92.56%	0.00%	2	b^m	nursing
92.56%	0.00%	2	ba	it 's amazing
92.57%	0.00%	2	ba	this is true
92.57%	0.00%	2	ba	how fun
92.58%	0.00%	2	ba	i would think so
92.58%	0.00%	2	ba	mine too
92.59%	0.00%	2	ba	uh-oh
92.59%	0.00%	2	ba	i think that 's wonderful
92.59%	0.00%	2	ba	that 's okay
92.60%	0.00%	2	bh	they do
92.60%	0.00%	2	b	right yeah
92.61%	0.00%	2	bh	oh do you really
92.61%	0.00%	2	b	uh-huh huh
92.62%	0.00%	2	ba	wow yeah
92.62%	0.00%	2	b	well right
92.62%	0.00%	2	ba	that 's a good one
92.63%	0.00%	2	ba	ah
92.63%	0.00%	2	b	well all right
92.64%	0.00%	2	ba	gee whiz
92.64%	0.00%	2	ba	well that 's funny
92.64%	0.00%	2	b	righ-
92.65%	0.00%	2	b	right uh-huh
92.65%	0.00%	2	bh	would you
92.66%	0.00%	2	ba	oh well that 's neat
92.66%	0.00%	2	ba	oh well that 's interesting
92.67%	0.00%	2	ba	well that 's that 's neat
92.67%	0.00%	2	b	oh gosh
92.67%	0.00%	2	b^m	yes
92.68%	0.00%	2	ba	for sure
92.68%	0.00%	2	ba	well that sounds neat
92.69%	0.00%	2	bh	did it really
92.69%	0.00%	2	ba	uh gosh
92.70%	0.00%	2	bh	oh does he
92.70%	0.00%	2	ba	that is for sure
92.70%	0.00%	2	bd	oh no
92.71%	0.00%	2	bd	yeah
92.71%	0.00%	2	ba	oh whoa
92.72%	0.00%	2	bh	is n't that terrible
92.72%	0.00%	2	ba	well i can understand that
92.72%	0.00%	2	bk	oh really
92.73%	0.00%	2	ba	oh that must be nice
92.73%	0.00%	2	bf	it 's real hard
92.74%	0.00%	2	ba	oh that 's too bad
92.74%	0.00%	2	b	huh uh-huh
92.75%	0.00%	2	ba	bless your heart
92.75%	0.00%	2	ba	certainly
92.75%	0.00%	2	ba	it 's a lot of money
92.76%	0.00%	2	bh	oh it did
92.76%	0.00%	2	b	see yeah
92.77%	0.00%	2	ba	but gosh
92.77%	0.00%	2	ba	that 's real nice
92.78%	0.00%	2	b	right mumblex
92.78%	0.00%	2	bf	goal directed
92.78%	0.00%	2	ba	that 's sad
92.79%	0.00%	2	ba	unbelievable
92.79%	0.00%	2	ba	pretty good
92.80%	0.00%	2	br	who
92.80%	0.00%	2	ba	i i can imagine
92.80%	0.00%	2	b	well good to hear
92.81%	0.00%	2	ba	oh well that 's pretty good
92.81%	0.00%	2	ba	i 'll be darn
92.82%	0.00%	2	ba	oh it is
92.82%	0.00%	2	bh	oh it does
92.83%	0.00%	2	ba	so that 's nice
92.83%	0.00%	2	bh	did you really
92.83%	0.00%	2	ba	very good point
92.84%	0.00%	2	ba	i believe it
92.84%	0.00%	2	b^m	virginia
92.85%	0.00%	2	b	yes well
92.85%	0.00%	2	ba	that 's a real good idea
92.86%	0.00%	2	b	oh yeah uh
92.86%	0.00%	2	ba	well that 's fantastic
92.86%	0.00%	2	ba	oh well that is interesting
92.87%	0.00%	2	ba	that 's an idea
92.87%	0.00%	2	ba	well that 's something
92.88%	0.00%	2	ba	wow that 's
92.88%	0.00%	2	b	alright
92.88%	0.00%	2	b	do you
92.89%	0.00%	2	ba	that 's that 's right
92.89%	0.00%	2	ba	it sure does
92.90%	0.00%	2	ba	i 'll say
92.90%	0.00%	2	ba	huh well that 's great
92.91%	0.00%	2	ba	well that 's a shame
92.91%	0.00%	2	ba	well sure
92.91%	0.00%	2	ba	that is nice
92.92%	0.00%	2	b	i do n't know
92.92%	0.00%	2	b	yes um
92.93%	0.00%	2	ba	it sure is
92.93%	0.00%	2	b	oh uh
92.94%	0.00%	2	bd	uh-huh
92.94%	0.00%	2	ba	whoa
92.94%	0.00%	2	ba	i ca n't imagine
92.95%	0.00%	2	bh	is n't that something
92.95%	0.00%	2	ba	well that 's a good deal
92.96%	0.00%	2	b	but um no
92.96%	0.00%	2	ba	sounds interesting
92.96%	0.00%	2	b	all right uh
92.97%	0.00%	2	bk	well okay
92.97%	0.00%	2	ba	oh how about that
92.98%	0.00%	2	ba	that 's very good
92.98%	0.00%	2	ba	oh that sounds interesting
92.99%	0.00%	2	b	well uh yeah
92.99%	0.00%	2	ba	sounds like it
92.99%	0.00%	2	ba	holy smoke
93.00%	0.00%	2	ba	well that 's a thought
93.00%	0.00%	2	ba	that 's a good
93.01%	0.00%	2	ba	that 's not bad at all
93.01%	0.00%	2	ba	that 's a beautiful state
93.02%	0.00%	2	ba	oh that 's weird
93.02%	0.00%	2	ba	hm that 's interesting
93.02%	0.00%	2	ba	that 's a lot
93.03%	0.00%	2	ba	i can understand
93.03%	0.00%	2	b	you do n't think so
93.04%	0.00%	2	b^m	wonder years
93.04%	0.00%	2	b	gee
93.04%	0.00%	2	ba	that will be neat
93.05%	0.00%	2	bh	oh is it really
93.05%	0.00%	2	ba	oh i 'll bet
93.06%	0.00%	2	ba	well that 's good though
93.06%	0.00%	2	ba	ooh that sounds good
93.07%	0.00%	2	bh	does it
93.07%	0.00%	2	b^m	two cats
93.07%	0.00%	2	bh	oh they do
93.08%	0.00%	2	ba	that sounds interesting
93.08%	0.00%	2	ba	that 's excellent
93.09%	0.00%	2	ba	oh that is great
93.09%	0.00%	2	ba	that 's that 's wonderful
93.10%	0.00%	2	ba	oh that 's tough
93.10%	0.00%	2	b	uh-
93.10%	0.00%	2	ba	well that 's good to know
93.11%	0.00%	2	ba	oh well that 's great
93.11%	0.00%	2	ba	ooh that would be nice
93.12%	0.00%	2	bd	it 's okay
93.12%	0.00%	2	b	and then yeah
93.13%	0.00%	2	ba	no doubt
93.13%	0.00%	2	ba	uh that 's nice
93.13%	0.00%	2	ba	oh cool
93.14%	0.00%	2	b	okay well
93.14%	0.00%	2	bh	oh is he
93.15%	0.00%	2	bh	is it really
93.15%	0.00%	2	ba	i understand what you 're saying
93.15%	0.00%	2	b	maybe so
93.16%	0.00%	2	ba	yow
93.16%	0.00%	2	ba	well that 's a great idea
93.17%	0.00%	2	ba	that 's probably true
93.17%	0.00%	2	bh	what
93.18%	0.00%	2	br	what is that
93.18%	0.00%	2	ba	yes
93.18%	0.00%	2	bk	oh oh okay
93.19%	0.00%	2	ba	bang
93.19%	0.00%	2	bh	okay
93.20%	0.00%	2	ba	oh that would be great
93.20%	0.00%	2	bh	do they
93.21%	0.00%	2	ba	beautiful
93.21%	0.00%	2	ba	oh that sounds lovely
93.21%	0.00%	2	ba	oh well
93.22%	0.00%	2	bh	is that so
93.22%	0.00%	2	ba	i will be darned
93.23%	0.00%	2	ba	oh how wonderful
93.23%	0.00%	2	ba	that sounds really good
93.23%	0.00%	2	ba	i know the feeling
93.24%	0.00%	2	b^m	dallas
93.24%	0.00%	2	ba	oh is n't it though
93.25%	0.00%	2	ba	oh i bet it was
93.25%	0.00%	2	ba	absolutely
93.26%	0.00%	2	ba	oh that sounds
93.26%	0.00%	2	ba	oh my lord
93.26%	0.00%	2	bd	no problem
93.27%	0.00%	2	ba	well that is neat
93.27%	0.00%	2	bh	no kidding
93.28%	0.00%	2	ba	of course
93.28%	0.00%	2	ba	that 's really true
93.29%	0.00%	2	b^m	paris
93.29%	0.00%	2	ba	well that 's a neat idea
93.29%	0.00%	2	ba	sure it is
93.30%	0.00%	2	b	okay yeah
93.30%	0.00%	2	ba	it did
93.31%	0.00%	2	ba	that sounds wonderful
93.31%	0.00%	2	b^m	in dallas
93.31%	0.00%	2	b	exactly
93.32%	0.00%	2	ba	i bet it was
93.32%	0.00%	2	ba	that is sad
93.33%	0.00%	2	ba	that 's cute
93.33%	0.00%	2	ba	that 's exactly it
93.34%	0.00%	2	b	see
93.34%	0.00%	1	b	cuddle up uh-huh
93.34%	0.00%	1	bf	but for all
93.34%	0.00%	1	bf	i mean like if if
93.34%	0.00%	1	bk	uh oh
93.35%	0.00%	1	ba	well that 's real neat
93.35%	0.00%	1	bf	that 's when you know
93.35%	0.00%	1	bf	to maintain a prison inma-
93.35%	0.00%	1	b^m	takes a long time
93.35%	0.00%	1	ba	i know exactly how you feel
93.36%	0.00%	1	ba	well that was good
93.36%	0.00%	1	b	you
93.36%	0.00%	1	ba	oh oh goody
93.36%	0.00%	1	bf	and they were n't
93.37%	0.00%	1	ba	boy you really lift me up to a different
93.37%	0.00%	1	b	hey
93.37%	0.00%	1	b^m	garth brooks
93.37%	0.00%	1	bf	and your daughter is going to be a sophomore
93.37%	0.00%	1	bf	it had to be you
93.38%	0.00%	1	ba	oh i 'm jealous
93.38%	0.00%	1	ba	but
93.38%	0.00%	1	b	or right
93.38%	0.00%	1	ba	you probably will for a while because it 's going to be real tender
93.38%	0.00%	1	br	did what
93.39%	0.00%	1	ba	but i know what you 're saying uh
93.39%	0.00%	1	bf	oh so you do n't wear heels anymore i 'll bet
93.39%	0.00%	1	bh	oh you 're kidding
93.39%	0.00%	1	bf	where they could n't do that
93.39%	0.00%	1	bf	because they need to have a little bit of the
93.40%	0.00%	1	bk	okay well see
93.40%	0.00%	1	b^m	f r i s e
93.40%	0.00%	1	b^m	it 's it 's great
93.40%	0.00%	1	bf	so it was you and the kid
93.41%	0.00%	1	ba	what a shame
93.41%	0.00%	1	bf	getting a lot of breaks
93.41%	0.00%	1	ba	oh well that 's a nice computer
93.41%	0.00%	1	b	so um yeah
93.41%	0.00%	1	bf	that actually travel what city to city state to state
93.42%	0.00%	1	ba	i understand uh
93.42%	0.00%	1	bf	if it 's a
93.42%	0.00%	1	bf	you can get away with it
93.42%	0.00%	1	b^m	e d p
93.42%	0.00%	1	bf	like sounds like you got your master 's before here
93.43%	0.00%	1	ba	aye aye aye
93.43%	0.00%	1	b^m	three dogs
93.43%	0.00%	1	ba	oh that 's a mumblex
93.43%	0.00%	1	bh	but what about the rest of the society
93.43%	0.00%	1	ba	there 's a lot of truth in that
93.44%	0.00%	1	bh	and what is he going to do prison to the other people
93.44%	0.00%	1	ba	that 'll be great
93.44%	0.00%	1	bf	you can come and go
93.44%	0.00%	1	ba	golly that 's great
93.45%	0.00%	1	b^m	lawn
93.45%	0.00%	1	b^m	stick shift
93.45%	0.00%	1	ba	i know how that goes
93.45%	0.00%	1	b	oh yeah mumblex
93.45%	0.00%	1	bf	hardware stuff huh
93.46%	0.00%	1	ba	oh gee-whiz
93.46%	0.00%	1	ba	that feels really good
