2017-01-24 04:37:23,234 DEBUG    version=v043-unified:simple-ff-100-50-50
2017-01-24 05:21:18,100 INFO     epoch: 20 took 119.483s (83.903s in batching)
training loss:	0.583536
validation loss:	0.607290
validation error:	0.329294
2017-01-24 05:21:18,103 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:23:07,795 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-021.pkl
2017-01-24 05:23:18,085 INFO     epoch: 21 took 119.985s (84.404s in batching)
training loss:	0.583282
validation loss:	0.607736
validation error:	0.329338
2017-01-24 05:23:18,089 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:25:07,896 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-022.pkl
2017-01-24 05:25:18,164 INFO     epoch: 22 took 120.078s (84.451s in batching)
training loss:	0.582868
validation loss:	0.604064
validation error:	0.327276
2017-01-24 05:25:18,167 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:27:07,876 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-023.pkl
2017-01-24 05:27:18,157 INFO     epoch: 23 took 119.994s (84.289s in batching)
training loss:	0.582544
validation loss:	0.604744
validation error:	0.326325
2017-01-24 05:27:18,161 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:29:07,717 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-024.pkl
2017-01-24 05:29:18,007 INFO     epoch: 24 took 119.850s (84.269s in batching)
training loss:	0.582291
validation loss:	0.606393
validation error:	0.325482
2017-01-24 05:29:18,010 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:31:07,542 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-025.pkl
2017-01-24 05:31:17,809 INFO     epoch: 25 took 119.802s (84.195s in batching)
training loss:	0.582131
validation loss:	0.605774
validation error:	0.325665
2017-01-24 05:31:17,812 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:33:07,768 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-026.pkl
2017-01-24 05:33:17,978 INFO     epoch: 26 took 120.169s (84.416s in batching)
training loss:	0.581710
validation loss:	0.609712
validation error:	0.326939
2017-01-24 05:33:17,981 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:35:07,908 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-027.pkl
2017-01-24 05:35:18,240 INFO     epoch: 27 took 120.262s (84.361s in batching)
training loss:	0.581484
validation loss:	0.606676
validation error:	0.328134
2017-01-24 05:35:18,243 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:37:07,960 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-028.pkl
2017-01-24 05:37:18,206 INFO     epoch: 28 took 119.966s (84.218s in batching)
training loss:	0.581270
validation loss:	0.606873
validation error:	0.327608
2017-01-24 05:37:18,209 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:39:07,577 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-029.pkl
2017-01-24 05:39:17,820 INFO     epoch: 29 took 119.614s (83.997s in batching)
training loss:	0.580945
validation loss:	0.607753
validation error:	0.327202
2017-01-24 05:39:17,823 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:41:07,657 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-030.pkl
2017-01-24 05:41:17,979 INFO     epoch: 30 took 120.159s (84.395s in batching)
training loss:	0.581041
validation loss:	0.607302
validation error:	0.327430
2017-01-24 05:41:17,983 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:43:07,611 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-031.pkl
2017-01-24 05:43:17,837 INFO     epoch: 31 took 119.858s (84.220s in batching)
training loss:	0.580770
validation loss:	0.607532
validation error:	0.328040
2017-01-24 05:43:17,841 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:45:07,927 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-032.pkl
2017-01-24 05:45:18,237 INFO     epoch: 32 took 120.400s (84.402s in batching)
training loss:	0.580355
validation loss:	0.608695
validation error:	0.329670
2017-01-24 05:45:18,241 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:47:06,542 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-033.pkl
2017-01-24 05:47:16,580 INFO     epoch: 33 took 118.343s (83.843s in batching)
training loss:	0.580193
validation loss:	0.606244
validation error:	0.326934
2017-01-24 05:47:16,584 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:49:03,827 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-034.pkl
2017-01-24 05:49:13,885 INFO     epoch: 34 took 117.304s (83.441s in batching)
training loss:	0.580187
validation loss:	0.612222
validation error:	0.330181
2017-01-24 05:49:13,889 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:51:01,073 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-035.pkl
2017-01-24 05:51:11,092 INFO     epoch: 35 took 117.207s (83.507s in batching)
training loss:	0.579917
validation loss:	0.608853
validation error:	0.327648
2017-01-24 05:51:11,095 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:52:58,925 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-036.pkl
2017-01-24 05:53:09,046 INFO     epoch: 36 took 117.954s (83.660s in batching)
training loss:	0.579782
validation loss:	0.612705
validation error:	0.331435
2017-01-24 05:53:09,050 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:54:56,393 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-037.pkl
2017-01-24 05:55:06,500 INFO     epoch: 37 took 117.453s (83.374s in batching)
training loss:	0.579800
validation loss:	0.608306
validation error:	0.325859
2017-01-24 05:55:06,503 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:56:54,305 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-038.pkl
2017-01-24 05:57:04,443 INFO     epoch: 38 took 117.943s (83.585s in batching)
training loss:	0.579547
validation loss:	0.606466
validation error:	0.327162
2017-01-24 05:57:04,446 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:58:52,613 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-039.pkl
2017-01-24 05:59:02,745 INFO     epoch: 39 took 118.302s (83.652s in batching)
training loss:	0.579375
validation loss:	0.608210
validation error:	0.327742
2017-01-24 05:59:02,749 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:00:50,709 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-040.pkl
2017-01-24 06:01:00,823 INFO     epoch: 40 took 118.077s (83.742s in batching)
training loss:	0.579322
validation loss:	0.608360
validation error:	0.328297
2017-01-24 06:01:00,826 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:02:49,403 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-041.pkl
2017-01-24 06:02:59,533 INFO     epoch: 41 took 118.710s (83.888s in batching)
training loss:	0.579018
validation loss:	0.610516
validation error:	0.328382
2017-01-24 06:02:59,537 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:04:48,697 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-042.pkl
2017-01-24 06:04:58,874 INFO     epoch: 42 took 119.341s (84.316s in batching)
training loss:	0.579115
validation loss:	0.615267
validation error:	0.327717
2017-01-24 06:04:58,878 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:06:47,168 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-043.pkl
2017-01-24 06:06:57,367 INFO     epoch: 43 took 118.492s (83.538s in batching)
training loss:	0.578779
validation loss:	0.610778
validation error:	0.328233
2017-01-24 06:06:57,371 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:08:45,863 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-044.pkl
2017-01-24 06:08:56,060 INFO     epoch: 44 took 118.694s (83.699s in batching)
training loss:	0.578965
validation loss:	0.609039
validation error:	0.331261
2017-01-24 06:08:56,064 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:10:44,669 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-045.pkl
2017-01-24 06:10:54,853 INFO     epoch: 45 took 118.793s (83.811s in batching)
training loss:	0.578541
validation loss:	0.608909
validation error:	0.328377
2017-01-24 06:10:54,858 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:12:43,553 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-046.pkl
2017-01-24 06:12:53,751 INFO     epoch: 46 took 118.898s (83.885s in batching)
training loss:	0.578667
validation loss:	0.612156
validation error:	0.335876
2017-01-24 06:12:53,755 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:14:42,818 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-047.pkl
2017-01-24 06:14:53,111 INFO     epoch: 47 took 119.360s (84.110s in batching)
training loss:	0.578467
validation loss:	0.608901
validation error:	0.327073
2017-01-24 06:14:53,115 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:16:42,349 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-048.pkl
2017-01-24 06:16:52,652 INFO     epoch: 48 took 119.541s (84.230s in batching)
training loss:	0.578369
validation loss:	0.609301
validation error:	0.329532
2017-01-24 06:16:52,656 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:18:42,027 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-049.pkl
2017-01-24 06:18:52,297 INFO     epoch: 49 took 119.645s (84.098s in batching)
training loss:	0.578437
validation loss:	0.610909
validation error:	0.329323
2017-01-24 06:18:52,302 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:20:41,952 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-050.pkl
2017-01-24 06:20:52,188 INFO     epoch: 50 took 119.891s (84.253s in batching)
training loss:	0.578294
validation loss:	0.609728
validation error:	0.328218
2017-01-24 06:20:52,192 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:22:41,219 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-051.pkl
2017-01-24 06:22:51,473 INFO     epoch: 51 took 119.285s (83.753s in batching)
training loss:	0.578067
validation loss:	0.613538
validation error:	0.331465
2017-01-24 06:22:51,478 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:24:40,457 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-052.pkl
2017-01-24 06:24:50,664 INFO     epoch: 52 took 119.192s (83.795s in batching)
training loss:	0.578007
validation loss:	0.611326
validation error:	0.333918
2017-01-24 06:24:50,669 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:26:39,972 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-053.pkl
2017-01-24 06:26:50,089 INFO     epoch: 53 took 119.425s (83.869s in batching)
training loss:	0.577730
validation loss:	0.610252
validation error:	0.332605
2017-01-24 06:26:50,093 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:28:39,877 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-054.pkl
2017-01-24 06:28:50,024 INFO     epoch: 54 took 119.935s (84.290s in batching)
training loss:	0.577945
validation loss:	0.610346
validation error:	0.331693
2017-01-24 06:28:50,029 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:30:38,922 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-055.pkl
2017-01-24 06:30:49,126 INFO     epoch: 55 took 119.102s (83.591s in batching)
training loss:	0.577788
validation loss:	0.609602
validation error:	0.328818
2017-01-24 06:30:49,130 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:32:38,168 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-056.pkl
2017-01-24 06:32:48,424 INFO     epoch: 56 took 119.299s (83.791s in batching)
training loss:	0.577567
validation loss:	0.612229
validation error:	0.332332
2017-01-24 06:32:48,429 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:34:37,737 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-057.pkl
2017-01-24 06:34:47,891 INFO     epoch: 57 took 119.466s (83.748s in batching)
training loss:	0.577535
validation loss:	0.612175
validation error:	0.331460
2017-01-24 06:34:47,895 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:36:37,144 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-058.pkl
2017-01-24 06:36:47,343 INFO     epoch: 58 took 119.453s (83.859s in batching)
training loss:	0.577535
validation loss:	0.606703
validation error:	0.327157
2017-01-24 06:36:47,348 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:38:37,062 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-059.pkl
2017-01-24 06:38:47,293 INFO     epoch: 59 took 119.950s (84.128s in batching)
training loss:	0.577385
validation loss:	0.610232
validation error:	0.332129
2017-01-24 06:38:47,298 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:40:36,764 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-060.pkl
2017-01-24 06:40:47,020 INFO     epoch: 60 took 119.727s (84.010s in batching)
training loss:	0.577329
validation loss:	0.611423
validation error:	0.329125
2017-01-24 06:40:47,024 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:42:36,457 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-061.pkl
2017-01-24 06:42:46,662 INFO     epoch: 61 took 119.642s (84.033s in batching)
training loss:	0.577132
validation loss:	0.612213
validation error:	0.330320
2017-01-24 06:42:46,666 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:44:36,088 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-062.pkl
2017-01-24 06:44:46,355 INFO     epoch: 62 took 119.693s (83.910s in batching)
training loss:	0.577070
validation loss:	0.609694
validation error:	0.328912
2017-01-24 06:44:46,360 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:46:35,682 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-063.pkl
2017-01-24 06:46:45,990 INFO     epoch: 63 took 119.635s (83.921s in batching)
training loss:	0.577049
validation loss:	0.611431
validation error:	0.330384
2017-01-24 06:46:45,995 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:48:35,830 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-064.pkl
2017-01-24 06:48:46,125 INFO     epoch: 64 took 120.135s (84.204s in batching)
training loss:	0.577037
validation loss:	0.612675
validation error:	0.326815
2017-01-24 06:48:46,130 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:50:36,140 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-065.pkl
2017-01-24 06:50:46,490 INFO     epoch: 65 took 120.365s (84.304s in batching)
training loss:	0.576967
validation loss:	0.610940
validation error:	0.328382
2017-01-24 06:50:46,495 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:52:35,831 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-066.pkl
2017-01-24 06:52:46,097 INFO     epoch: 66 took 119.607s (83.857s in batching)
training loss:	0.576879
validation loss:	0.615723
validation error:	0.330255
2017-01-24 06:52:46,102 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:54:35,770 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-067.pkl
2017-01-24 06:54:46,090 INFO     epoch: 67 took 119.993s (83.799s in batching)
training loss:	0.576747
validation loss:	0.611454
validation error:	0.330845
2017-01-24 06:54:46,097 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:56:36,322 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-068.pkl
2017-01-24 06:56:46,427 INFO     epoch: 68 took 120.337s (84.499s in batching)
training loss:	0.576710
validation loss:	0.614477
validation error:	0.329849
2017-01-24 06:56:46,432 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 06:58:34,032 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-069.pkl
2017-01-24 06:58:44,185 INFO     epoch: 69 took 117.758s (83.520s in batching)
training loss:	0.576641
validation loss:	0.613502
validation error:	0.331484
2017-01-24 06:58:44,190 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
